共搜索到词条726个:
abkai zang 天瘐 
baz'ar 市场 
hezoxe 合作社 
hvjuz'u 互助组 
piyaz'i 皮芽子 
piyalangz'i 慢坡 
ai/zhiye	啊 
zhezhe	爹 
zhibchalambi	穿皮袄 
zhifalan	打麦场 
zhigeyen	耳聋 
zhilambi	痘出得少 
zhilambi	慈爱 
zhilan	慈 
zhilangga	慈善的 
zhingse	顶子 
zhiyelgiyembi	传谕 
zhizhiri	苞 
zhobombi	愁 
zhobos'huun	愁苦 
zhobosombi	发愁 
zhokson	当初 
zholbonombi	刃钝 
zholimbi	典赎 
zholo	丑鬼 
zhondombi	常说起 
zhonombi	常提起 
zhordambi/zhoran	马大走 
zhorgimbi	虫鸟啼鸣 
zhorilambi	常指示 
zhuchulembi	唱戏 
zhudurun	道儿 
zhurambi	出发 
zhurambi	动身 
zhurhun	寸 
zhursulembi	重 
zhuruken	成双的 
zhurulembi	成对 
zhuwanchi	第十 
zhuwe	二 
zhuwenggeri	二次 
myanzy	捻子 
anan/niyanzhan	辇 
niyelezhembi	碾伤 
zharimbi	念神歌 
zhondon	念头 
azha	娘 
myangzi	娘子 
zhilgambi	鸟叫 
bakzhambi	凝结 
izha	牛虻 
uyalzharnbi	扭动 
zhili	怒 
hozhihon	女婿 
teodenzhembi	挪移 
mizhurambi	爬着向前 
uhuulzha	盘羊 
sizhigiyan	袍子 
suzhumbi	跑 
zhibcha	皮袄 
fozhi	皮袜子 
pizhan	皮箱 
zhergi	品级 
zhafan	聘礼 
fakzhin	凭藉 
huwezhembi	屏蔽 
huwezhen	屏风 
huuwazhambi	破裂 
suzhikde	蒲柳 
bakalzhi	七寸子 
nadanzhu	七十 
zhiselembi	起草 
zhurambi	起程 
zhusukuu	铅饼 
anahuunzhangga	谦让的 
zhulergi	前 
zhiha	钱 
zhendu	潜 
zhamuri	蔷薇 
ekisaka/zhenduken	悄悄地 
hozho	俏丽 
hazhilan	亲 
hazhi	亲近 
zhuwali	青蛙 
henzhimbi	请来 
sebzhelembi	取乐 
sizhin	去壳的 
nuzhalambi	拳打 
nuzhan	拳头 
zhaman	嚷 
zhendembi	忍心 
zherun	仞 
zha	容易 
sizha	肉糜 
fazhambi	撒粪 
diyanzy/sesuku	色子 
buzhan	森林 
zhubki	沙滩 
zliidun	山脊 
giltarilambi/zherkishembi	闪烁 
ezhe	骟牛 
zhochibumbi	伤害 
fusezhembi	伤口破 
zhabdunggala	尚未 
deizhimbi/deizhin	烧 
bazhu	烧酒槽 
buzhekshembi	烧香 
zhan	哨箭 
boihozhu	社稷 
zharin	麝香 
banzhirengge	生计 
buzhihilambi	生闷气 
banzhin	生相 
banzhitai	生性 
mudan/zhilgan	声音 
zhuwan	十 
buzhun	十万 
niokzhi	石苔 
zhahari	石子儿 
zhalan	世 
fuzhuri	世袭的 
isamzhambi	收集 
zhalaqm/zhalgan	寿 
dekdelzhembi	受惊 
zhalahi	叔伯的 
izhimbi	梳 
zholdombi	赎 
zhurun	鼠洞 
zhazhuri	树丛 
buzhan	树林 
zhochimbi	衰败 
oholzhombi/snuang	拴活扣儿 
zhuru	双 
zhursu	双层 
bolzhon	水波 
zholhombi	水漾出 
sokzhi	水藻 
izhis'huun	顺从 
manzhurambi	说满语 
zhubesi	说书人 
bezhilembi	说隐语 
guuninzhambi/seolembi	思索 
guunizhan	思想 
zhakdan	松 
gulezhembi	松开 
benzhimbi	送来 
enzhi/gulu	素的 
zhushuhun	酸 
zhulungga	随合的人 
meizhembi	碎 
nizhihe	碎渣滓 
sozy	梭子米 
alazhan	锁子骨 
gamzhi	贪婪 
gamzhidamhi	贪取 
zhempilembi	摊煎饼 
tunggu/zhuche	潭 
zhamdan	檀香 
sezhilembi	叹气 
mezhigelembi	探听消息 
ukanzhu	逃亡者 
zhamu	桃红色 
tazhirambi	淘气 
zhombumbi	提起。 
zhoringga	题目 
gilzhan	体察 
gilzhambi	体谅 
yamzhimbi	天晚 
gilershembi/zhilershembi	恬不知耻 
zhanchuhuun	甜 
zhukimbi	填 
damzhalambi	挑 
silgambi/silgabun/sonzhombi/silimbi	挑选 
zhustan	条儿 
zherin	铁砧子 
donzhimbi	听 
donzhin	听闻 
nakambi/zhoombi	停止 
uzhu	头 
azhi	头生的 
mahuulambi/izhumbi	涂抹 
banazhi	土地爷 
suzhanambi	土内发芽 
fuyakiyambi/oksimbi/zhurumbi	吐 
zhuliyambi	吐出来 
zhabdumbi	妥当 
zhelambi	雨稍停 
akzhambi	雷鸣 
akzhan	雷 
alzhambi/fakchambi/hokombi	离开 
anzha	犁 
anzhu	荤食 
arzhan	奶酒 
azhambi	划破 
azhigalambi	马交配 
azhirgan	公的 
bakzhalambi	立定 
banzhis'huun	富裕的 
bazhinas'huun	过了一会 
bazhu	酒糟 
bekterembi/bulinzhambi	发怔 
bezhe/krio	炕里边 
bilurzhambi	假装老实 
boigon/uzhin	家产 
bolokon/hanzha	干净的 
bozhiri	菊花 
buheyechuka/kenehunzhe/chuke	可疑的 
burgiyen/zhibge	吝啬 
buzhan	林 
dembei/mazhakuu/zhachi	很 
doohanzhimbi	过桥 
durbezhen	方角 
durbezhitu	矩 
ehe/efuzhembi/efuzhen	坏 
ehontoho/zhombi	豁开 
elzhembi	反抗 
enggelenzhim	来临 
erguwezhitu	规矩 
ezhebun	记录 
ezhembi	记 
ezhesu	记性 
ezhihe	奶渣子 
fafulambi/shazhilambi	禁止 
fais~halambi/zhaselambi	立栅栏 
faizhuma	古怪 
fakzhilambi	靠 
fakzhin	距 
fazhan	粪 
fazhukuu/teru	肛门 
fiyaganzhambi	交换 
fiyazhu	鹿羔儿 
fiyerembi/zhakanambi	裂缝 
fukzhin/fudezhembi	开头 
fukzhishambi	拘束 
fuzhin	福晋 
fuzhurulambi	访问 
fuzhurun/shulehen	赋 
gachilabumbi/zhanggalimbi	窘迫 
gakarambi/zhakarambi	裂开 
galzhu/nilukan	滑溜 
gamambi/zhafambi	拿 
gazhimbi	拿来 
gelerzhembi	泪汪汪 
gezhiheshembi	胳肢 
gezhun	戈 
gezhurembi	勒索 
gganzhur	甘珠尔 
gingguzhi	谨 
giyaambi/zhalambi	间隔出 
gizhun	戟 
gonzhambi/ubashatambi	反复 
gosichuka/zhilachuka/zhilakan	可怜的 
gungze	公子 
guusihiya/uzhan achambi	交界 
halanzhambi	轮流 
hazhuri	风筒 
hibsu_ezhen	蜜蜂 
hiyahanzhambi	交错 
hizha	庐 
hozhikosaka	好好地 
hozho	俊俏 
huzhuku	风箱 
huzhumbi	俯伏 
huzhumbi	拉风箱 
huzhureku/huzhurembi/moselakuu/moselambi	磨 
inzhaha	黄羊羔 
inzhiri	面纱 
isanzhingga	会聚的 
izharlambi	含笑 
izhifun	木梳 
izhilambi	马、牲口 
izhurambi	摩擦 
kalzhu	滑雪杖 
kengsezhembi	磨伤 
kezhine	好久 
kizhimbi	海参 
kobsolzhombi	浮夸 
koikolzhombi	胡作非为 
kunesun/zhufeliyen	干粮 
kungzy	孔子 
lalanzhi	煮的很烂 
lazhu	肥笨 
luzhuri	黑元狐皮 
manzhu	满洲 
mehezhen	老母猪 
meizhebumbi	粉碎 
mengzy	孟子， 
menzhi	蔓菁 
menzy	门子 
muzhan	木匠 
muzhangga/yala	果然 
nadanzhuta	各七十 
nehuuzhi	老婢 
ninzhu	六—卜 
ninzhuta	各六十 
niyekinambi/zhekunembi	化脓 
oholzhon	活结子 
okzhoslambi	冒失 
olzhi/olzhilambi	俘虏 
sangguzhi	海蜇 
sebzhelembi	快乐 
sebzhen	乐 
sendezhemhi	决u 
shazhilan	桦木 
sonzhoku	可挑剔处 
sunzhata	各五个 
tanzhambi	口吃 
teike/zhaka	刚才 
tozhin	孔雀 
uhelenzhimbi	共同来 
urgunzhembi/yebelembi	高兴 
uyunzhu	九十 
uyunzhute	各九十 
uyunzhute	每力。十 
uzhed	老实 
uzhin	家生子 
wazhima	临终 
weizhumbi	活 
wekzhi	麸皮 
wenzhehun	红火 
yamzhis'huun	暮 
zhabun	口供 
zhachin	老 
zhadagan	毛病 
zhadahalambi	留残疾 
zhafunambi	擀成毡子 
zhaka	跟前 
zhaka	缝隙 
zhakanabumbi	离间 
zhakuunzhute	各八十 
zhakuuta	各八个 
zhakzhahuun	裂口的 
zhala	媒人 
zhalaktalambi	节拍 
zhaldambi	诳骗 
zhali	奸计 
zhalingga	奸 
zhalu/zhalumbi	满 
zhalzhan	蟒 
zhamanggi	囊 
zhamun	公署 
zhanchuhuuzhe	甘蔗 
zhangguuwan	酱瓜 
zhasimbi	寄信 
zhe	谷子 
zhebele	弓箭袋 
zheku	粮食 
zheme	奶妈 
zherde	红马 
zheren	黄羊 
zherguwen	栏杆 
zhibebgun	眯缝眼 
zhiduzhi	究竟 
zhihanambi	谷物扬花 
zhikuu	归宿 
zhilachungga	悯 
zhilha	花蕊 
zhilihangga	节烈 
zhilun	可怜 
zhimbi	来 
zhingzhan	很小 
zhinzhaha	睾丸 
zhira	生得密 
zhiramin	厚 
zhise	稿子 
zhisumbi	拉开 
zhizhumbi	画画 
zhobochuka	可愁的 
zhodon	葛布 
zhokzhambi	狠狠地打 
zholikuu	箭浆 
zholo	母鹿 
zhorgon	腊月 
zhortanggi	故意 
zhotai	故意地 
zhozhin	马嚼子 
zhuguun	路 
zhuhenembi	结冰 
zhui	孩子 
zhuktembi	祭祀 
zhuktu	身体厚实 
zhulen	古词 
zhulergi	南 
zhulge	古 
zhulibumbi	面目浮呻 
zhumbali	竟然 
zhurgan	字行 
zhusibumbi	磨嘴皮子 
zhuwambi	开口 
zhuwanta	各十 
zhuwedembi	模棱两可 
zhuwete	各二个 
zhabshan	便宜 
banzhimbi	出生 
ezhetun	碑志 
zhangzy	长子 
zhohimbi	疮口愈合 
zholachambi	苦献殷勤 
hechembi/wazhimbi/wazhin	完 
gezhureku	顽皮的人 
yamzhi	晚上 
semezhen/semsu	网油 
zhulesi	往前 
zholgochombi	往上急诵 
mazhige	微小 
zhalin	为 
huwezhehen	围屏 
zhurehehen	违背 
zhuzhurambi	猥琐 
melerzhembi	畏避 
guwezhihe	胃 
wenzhengge	温暖的 
wenzhembi	温着 
zhampan	蚊帐 
ozhombi	吻 
zhingzhi	稳重 
fonzhimbi/fonzhin	问 
karalzha	乌鸡 
zhushuri	乌梅 
muzhimbi	呜咽 
dalzhakuu	无关 
sunzha	五 
sunzhanggeri	五次 
zhaka	物 
gurzhen	蟋蟀 
zhuchun	戏 
sizhimbi	细缝 
zhaksan	霞 
ebumbi/fezhile/fezhergi	下 
hezhembi	下定礼 
fuzhurakuu	下作的 
zhuwari	夏 
eyerzhembi/fiyangga	鲜亮 
gebkelzhembi	鲜艳 
tehershembi/theheren/teisu/zhergilembi	相等 
dalzhi	相干 
zhakanzhambi	详究 
sukzhimbi	享 
gazharchi	响导 
zhangzhu	象棋 
medege/mezhige	消息 
azhige	小国 
azhigen	小小的 
azhigesi	小些的 
zhebkeshembi	小心谨慎 
inzhembi/inzhemeliyen	笑 
inzheku	笑话 
izharshambi	笑迷迷 
yemzhi	邪魅 
eshenzhu	斜的 
kalzha	谢顶的 
niyeniyehun/niyeniyehunzhembi	心软 
muzhilen	心意 
zhakan	新近 
zhasigan	信 
dekzhin	兴 
dekzhimbi	兴旺 
silemidembi/zhibgeshembi	行动迟缓 
hanzhadambi	行廉 
zhabshan	幸运 
ehezhen	胸膛 
churgimbi/zhamarambi	喧哗 
dukzhimbi	喧嚷 
sonzhombi	选 
oksonzhombi	学迈步 
bahanzhimbi	寻路 
yakazhambi	牙碜 
zhayan	牙关 
zhuyembi	牙关紧闭 
bitumbi/dalirame/ninggureme/zhakarame	沿着 
nizharambi	研碎 
busazhambi	眼被扎瞎 
zhuehulesi	演员 
ehibin/zhizhirgan	燕子 
zhangzhuri	杨梅 
uzhimbi	养 
uzhibun	养育 
haihuulzhambi/horgimbi	摇动 
gaimbi/gaizhambi	要 
niyazhiba	野荠菜 
zhilkin	一撮发 
akdambi/fakzhin	依靠 
kenehunzhen	疑吼 
talihuunzhabi	疑惑不定 
zhurgan	义 
zhirgambi	逸 
zhurgan	意义 
ofi/some/zhakade	因为 
butemzhi	阴险 
bilzhambi	洇血 
zharzhi	莺 
zhuehiba	萤火虫 
nuzhashambi	用拳乱打 
zhorimbi	用手指 
banihuunzhambi/zhiramilambi	优待 
zhobochun	忧 
zhobolon	忧患 
tathuunzhambi	犹豫 
zhechuhunzhembi	犹豫不决 
iose/zhofohon	柚子 
dalzhingga	有关系的 
muzhingga	有志气的 
azhigan	幼 
zhuseki	幼稚 
sukzhi	榆钱 
huushazhu	芋头 
bolzhohongge	预约的 
muheliyengge/zheofingge	圆形的 
bolzhohon	约 
bolzhombi	约定 
zhalgiyambi/zhalgiyazhambi	匀出 
mayan/zhulgen	运气 
zhuwembi	运送 
zhun	灶门 
zheksimbi	憎恶 
nukazhambi	扎着疼 
zhombi	铡草 
zhokuu	铡刀 
buzhambi	诈尸 
bekdun/gakdun/zhuwen	债 
zhangchi	毡挂子 
zhafu	毡子 
fudezhembi	绽裂 
zhanggalchambi	张狂 
zhangga	樟 
zhuda	丈 
bozhe	账目 
bizhambi	折 
zhezy	折子 
zhe	嗻 
zhukidun	鹧鸪 
zhekdun	贞 
zhengdun	贞节 
zhibchi	针扎 
zhingkini	正副 
lakdari/zhuken	正好 
zhing	正好 
sizhirhuun	正直 
suzhambi	支 
suzhakuu	支棍 
zhodombi	织 
munazhambi/murinzhambi	执拗 
sizhihuun	直挺挺的 
zhuchelembi	值班 
damu/gozhime	只 
changkai/urgulzhi	只管 
urkuzhi	只是 
zhorisi	指挥 
zhooman	指甲根 
muzhin	志向 
bozhi	中人 
zhungken	钟 
bulzhan	肿包 
uzhen	重 
uzhelembi	重视 
zhubki	洲 
[anja] 鋤 
[buleku] 鎧,鏡 
[coo] 鉄製の鋤,シャベル 
[dusihi] 鎧の草ずり,着物の前面の縁 
[feye] 傷,穴,巣 
[gindana] 牢獄 
[giran] 死骸,死体,遺骨,墓 
[hada-] 突き刺さる,食い込む,釘で付ける,取り付ける 
[hori-] 閉じ込める,囲う,牢に入れる 
[iju-] 糊?膠を塗る,付ける 
[jila-] 憐れむ,哀れむ,慈しむ 
[jilacuka] 憐れむべき,可哀相な 
[luk seme talmaka] 深く霧が立ち込めた 
[melebu-] 遺漏する，落とす，手抜きする 
[narga] 鋤,鍬 
[nungge-] 呑み込む,飲み込む 
[saci-] 切る,整える,田を鋤きですく 
[silhi-] 一個所を突く,ねじ込む 
[singge-] 長く自分のものになる,所有する,染み込む,消化する 
[uksin] 鎧 
[uldefun] 木の鋤,スコップ 
[uxabu-] 引き込まれる,拉致する,巻き添えにする,無理矢理連れて行く 
户部 仓收 dzang ni bargiyaha sere bithe 官仓收纳米石发给之凭票也 满文 
刑部 ?木?夕?子 dzandz/ 妇人之夹棍也夹棍用于足此用于手 
户部 仓收 dzang ni bargiyaha sere bithe 官仓收纳米石发给之凭票也 满文 
刑部 ?木?夕?子 dzandz/ 妇人之夹棍也夹棍用于足此用于手 
户部 仓收 dzang ni bargiyaha sere bithe 官仓收纳米石发给之凭票也 满文 
刑部 ?木?夕?子 dzandz/ 妇人之夹棍也夹棍用于足此用于手 
工部 作官 dzoguwan 匠作之头目也 满文 
工部 红座船 hvng dzo cuwan 官员所座之船涂以红色 
刑部 油火纸 niyandzi dabufi 燃油火纸以照亮也 满文 
badzar市场 
fidzcin物理 
hedzoxe合作社 
hvjudzu互助组 
piyadzi皮芽子 
piyalangdzi慢坡 
